X,Y,Z
-9.7635,-10.8505,-1.5385000000000002
-9.7565,-10.848500000000001,-1.5435
-9.7565,-10.848500000000001,-1.5375
-9.736500000000001,-10.842500000000001,-1.5535
-9.729500000000002,-10.841500000000002,-1.5595
-9.729500000000002,-10.8405,-1.5535
-9.749500000000001,-10.8465,-1.5435
-9.749500000000001,-10.8465,-1.5375
-9.742500000000001,-10.8445,-1.5485000000000002
-9.7375,-10.841500000000002,-1.5485000000000002
-9.729500000000002,-10.8405,-1.5475
-9.742500000000001,-10.8445,-1.5425000000000002
-9.736500000000001,-10.842500000000001,-1.5415
-9.742500000000001,-10.8445,-1.5365000000000002
-9.7375,-10.8405,-1.5365000000000002
-9.729500000000002,-10.8405,-1.5415
-9.666500000000001,-10.8435,-1.6005
-9.6675,-10.8315,-1.6005
-9.6715,-10.8215,-1.6015000000000001
-9.665500000000002,-10.8185,-1.6015000000000001
-9.652500000000002,-10.874500000000001,-1.6055000000000001
-9.6425,-10.8755,-1.6095000000000002
-9.637500000000001,-10.8725,-1.6115000000000002
-9.6395,-10.8695,-1.6095000000000002
-9.636500000000002,-10.8655,-1.6095000000000002
-9.636500000000002,-10.864500000000001,-1.6095000000000002
-9.640500000000001,-10.873500000000002,-1.6065
-9.643500000000001,-10.873500000000002,-1.6015000000000001
-9.646500000000001,-10.871500000000001,-1.6045
-9.6425,-10.867500000000001,-1.6045
-9.640500000000001,-10.867500000000001,-1.6055000000000001
-9.6615,-10.8595,-1.6015000000000001
-9.6485,-10.8595,-1.6005
-9.649500000000002,-10.8535,-1.6005
-9.6515,-10.848500000000001,-1.6005
-9.6415,-10.8605,-1.6055000000000001
-9.640500000000001,-10.861500000000001,-1.6045
-9.640500000000001,-10.8565,-1.6025
-9.636500000000002,-10.857500000000002,-1.6045
-9.634500000000001,-10.8595,-1.6075000000000002
-9.6445,-10.851500000000001,-1.6005
-9.634500000000001,-10.852500000000001,-1.6055000000000001
-9.633500000000002,-10.852500000000001,-1.6055000000000001
-9.6395,-10.8495,-1.6005
-9.6265,-10.8665,-1.6115000000000002
-9.6315,-10.861500000000001,-1.6095000000000002
-9.6265,-10.861500000000001,-1.6105
-9.6285,-10.8565,-1.6095000000000002
-9.618500000000001,-10.857500000000002,-1.6115000000000002
-9.6255,-10.8495,-1.6145
-9.630500000000001,-10.854500000000002,-1.6105
-9.6315,-10.851500000000001,-1.6115000000000002
-9.621500000000001,-10.854500000000002,-1.6125
-9.634500000000001,-10.841500000000002,-1.6175000000000002
-9.6575,-10.845500000000001,-1.6025
-9.6455,-10.8465,-1.6105
-9.6325,-10.845500000000001,-1.6125
-9.6395,-10.8435,-1.6135000000000002
-9.633500000000002,-10.8465,-1.6105
-9.6455,-10.8465,-1.6035000000000001
-9.643500000000001,-10.8435,-1.6015000000000001
-9.6355,-10.8475,-1.6045
-9.636500000000002,-10.841500000000002,-1.6065
-9.6555,-10.825500000000002,-1.6055000000000001
-9.6295,-10.841500000000002,-1.6175000000000002
-9.6285,-10.845500000000001,-1.6155000000000002
-9.640500000000001,-10.809500000000002,-1.6235000000000002
-9.646500000000001,-10.810500000000001,-1.6175000000000002
-9.640500000000001,-10.809500000000002,-1.6175000000000002
-9.634500000000001,-10.806500000000002,-1.6225
-9.634500000000001,-10.806500000000002,-1.6165
-9.652500000000002,-10.8145,-1.6125
-9.6605,-10.8145,-1.6075000000000002
-9.6605,-10.8155,-1.6015000000000001
-9.652500000000002,-10.8145,-1.6065
-9.653500000000001,-10.813500000000001,-1.6005
-9.646500000000001,-10.8115,-1.6115000000000002
-9.640500000000001,-10.809500000000002,-1.6115000000000002
-9.634500000000001,-10.806500000000002,-1.6105
-9.646500000000001,-10.810500000000001,-1.6055000000000001
-9.6415,-10.8085,-1.6055000000000001
-9.646500000000001,-10.810500000000001,-1.6005
-9.634500000000001,-10.806500000000002,-1.6045
-9.6295,-10.8115,-1.6275000000000002
-9.6165,-10.8145,-1.6255000000000002
-9.617500000000001,-10.806500000000002,-1.6265
-9.6285,-10.8055,-1.6225
-9.6285,-10.8045,-1.6165
-9.6225,-10.8015,-1.6215000000000002
-9.614500000000001,-10.800500000000001,-1.6275000000000002
-9.614500000000001,-10.800500000000001,-1.6215000000000002
-9.6095,-10.797500000000001,-1.6265
-9.602500000000001,-10.7955,-1.6255000000000002
-9.6095,-10.797500000000001,-1.6205
-9.6035,-10.7955,-1.6205
-9.627500000000001,-10.8045,-1.6105
-9.621500000000001,-10.8025,-1.6155000000000002
-9.6225,-10.8015,-1.6095000000000002
-9.6285,-10.8045,-1.6045
-9.620500000000002,-10.8025,-1.6035000000000001
-9.614500000000001,-10.800500000000001,-1.6155000000000002
-9.608500000000001,-10.797500000000001,-1.6145
-9.6155,-10.7995,-1.6095000000000002
-9.6095,-10.797500000000001,-1.6085
-9.6035,-10.7955,-1.6145
-9.6035,-10.7955,-1.6085
-9.6155,-10.7985,-1.6035000000000001
-9.608500000000001,-10.797500000000001,-1.6025
-9.6035,-10.7955,-1.6025
-9.669500000000001,-10.852500000000001,-1.5975000000000001
-9.7165,-10.836500000000001,-1.5705000000000002
-9.710500000000001,-10.8335,-1.5695000000000001
-9.697500000000002,-10.829500000000001,-1.5805000000000002
-9.7055,-10.8315,-1.5755000000000001
-9.697500000000002,-10.829500000000001,-1.5745000000000002
-9.7035,-10.8315,-1.5685000000000002
-9.697500000000002,-10.829500000000001,-1.5685000000000002
-9.672500000000001,-10.820500000000001,-1.5965
-9.665500000000002,-10.8175,-1.5955000000000001
-9.665500000000002,-10.8175,-1.5835000000000001
-9.6645,-10.819500000000001,-1.5775000000000001
-9.7225,-10.838500000000002,-1.5645000000000002
-9.7165,-10.836500000000001,-1.5645000000000002
-9.723500000000001,-10.8375,-1.5585000000000002
-9.723500000000001,-10.8375,-1.5525000000000002
-9.717500000000001,-10.835500000000001,-1.5585000000000002
-9.7165,-10.835500000000001,-1.5525000000000002
-9.7095,-10.8335,-1.5635000000000001
-9.710500000000001,-10.8335,-1.5575
-9.7035,-10.8315,-1.5635000000000001
-9.697500000000002,-10.829500000000001,-1.5625000000000002
-9.7035,-10.8315,-1.5575
-9.698500000000001,-10.8285,-1.5565000000000002
-9.723500000000001,-10.8375,-1.5465000000000002
-9.7185,-10.8345,-1.5465000000000002
-9.7245,-10.8375,-1.5415
-9.7165,-10.835500000000001,-1.5405000000000002
-9.7095,-10.8335,-1.5515
-9.7095,-10.8335,-1.5455
-9.710500000000001,-10.8335,-1.5395
-9.704500000000001,-10.8305,-1.5515
-9.704500000000001,-10.8305,-1.5455
-9.698500000000001,-10.8285,-1.5505000000000002
-9.697500000000002,-10.8285,-1.5445000000000002
-9.704500000000001,-10.8305,-1.5395
-9.697500000000002,-10.8285,-1.5385000000000002
-9.6925,-10.825500000000002,-1.5565000000000002
-9.666500000000001,-10.816500000000001,-1.5605000000000002
-9.678500000000001,-10.822500000000002,-1.5545000000000002
-9.672500000000001,-10.819500000000001,-1.5545000000000002
-9.666500000000001,-10.816500000000001,-1.5545000000000002
-9.691500000000001,-10.826500000000001,-1.5505000000000002
-9.691500000000001,-10.826500000000001,-1.5445000000000002
-9.685500000000001,-10.823500000000001,-1.5495
-9.6805,-10.820500000000001,-1.5495
-9.6925,-10.825500000000002,-1.5385000000000002
-9.684500000000002,-10.8245,-1.5375
-9.685500000000001,-10.823500000000001,-1.5435
-9.6715,-10.819500000000001,-1.5485000000000002
-9.666500000000001,-10.816500000000001,-1.5485000000000002
-9.678500000000001,-10.8215,-1.5435
-9.672500000000001,-10.819500000000001,-1.5425000000000002
-9.678500000000001,-10.8215,-1.5375
-9.672500000000001,-10.819500000000001,-1.5365000000000002
-9.666500000000001,-10.816500000000001,-1.5425000000000002
-9.666500000000001,-10.816500000000001,-1.5365000000000002
-9.646500000000001,-10.864500000000001,-1.5995000000000001
-9.6445,-10.864500000000001,-1.5935000000000001
-9.637500000000001,-10.8655,-1.5955000000000001
-9.633500000000002,-10.8665,-1.5915000000000001
-9.6355,-10.864500000000001,-1.5865
-9.6575,-10.857500000000002,-1.5985
-9.649500000000002,-10.8595,-1.5945
-9.6545,-10.8625,-1.5915000000000001
-9.640500000000001,-10.861500000000001,-1.5975000000000001
-9.6385,-10.8635,-1.5985
-9.6425,-10.8625,-1.5915000000000001
-9.643500000000001,-10.8625,-1.5845
-9.636500000000002,-10.8655,-1.5805000000000002
-9.637500000000001,-10.8655,-1.5735000000000001
-9.650500000000001,-10.8605,-1.5775000000000001
-9.6285,-10.867500000000001,-1.5835000000000001
-9.6295,-10.870500000000002,-1.5785000000000002
-9.6285,-10.867500000000001,-1.5765000000000002
-9.627500000000001,-10.871500000000001,-1.5725000000000002
-9.6285,-10.867500000000001,-1.5695000000000001
-9.620500000000002,-10.870500000000002,-1.5725000000000002
-9.614500000000001,-10.8755,-1.5705000000000002
-9.611500000000001,-10.8695,-1.5705000000000002
-9.662500000000001,-10.8475,-1.5995000000000001
-9.621500000000001,-10.870500000000002,-1.5655000000000001
-9.6125,-10.8755,-1.5645000000000002
-9.6135,-10.8725,-1.5615
-9.611500000000001,-10.871500000000001,-1.5675000000000001
-9.6585,-10.816500000000001,-1.5595
-9.6605,-10.8145,-1.5955000000000001
-9.6545,-10.8125,-1.5945
-9.6485,-10.810500000000001,-1.5945
-9.6605,-10.8155,-1.5895000000000001
-9.6545,-10.8125,-1.5885
-9.6415,-10.8085,-1.5995000000000001
-9.6415,-10.8085,-1.5935000000000001
-9.634500000000001,-10.806500000000002,-1.5995000000000001
-9.634500000000001,-10.8055,-1.5935000000000001
-9.646500000000001,-10.810500000000001,-1.5885
-9.6415,-10.8085,-1.5875000000000001
-9.634500000000001,-10.806500000000002,-1.5875000000000001
-9.6605,-10.8155,-1.5835000000000001
-9.6605,-10.8145,-1.5775000000000001
-9.6545,-10.8115,-1.5825000000000002
-9.653500000000001,-10.813500000000001,-1.5765000000000002
-9.659500000000001,-10.8155,-1.5715000000000001
-9.653500000000001,-10.8125,-1.5715000000000001
-9.646500000000001,-10.810500000000001,-1.5825000000000002
-9.640500000000001,-10.8085,-1.5815000000000001
-9.646500000000001,-10.8115,-1.5765000000000002
-9.634500000000001,-10.806500000000002,-1.5815000000000001
-9.640500000000001,-10.8085,-1.5755000000000001
-9.646500000000001,-10.810500000000001,-1.5705000000000002
-9.640500000000001,-10.8085,-1.5695000000000001
-9.634500000000001,-10.8055,-1.5755000000000001
-9.634500000000001,-10.8055,-1.5695000000000001
-9.6285,-10.8045,-1.5985
-9.627500000000001,-10.803500000000001,-1.5925
-9.620500000000002,-10.8025,-1.5975000000000001
-9.6295,-10.803500000000001,-1.5865
-9.6225,-10.8015,-1.5915000000000001
-9.6225,-10.8015,-1.5865
-9.6155,-10.7995,-1.5975000000000001
-9.608500000000001,-10.797500000000001,-1.5965
-9.6035,-10.7955,-1.5965
-9.6155,-10.7985,-1.5915000000000001
-9.608500000000001,-10.797500000000001,-1.5905
